ImageID,Source,LabelName,Confidence,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
0005b6a438d43ecc,verification,/m/01dxs,1.0,train,https://c5.staticflickr.com/4/3120/2763877287_c761449c31_o.jpg,https://www.flickr.com/photos/smcdevitt/2763877287,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/smcdevitt/,McD22,2008_0813CraterLake0681,878064,rhKyfliu/Z4bvKVG+fFM7Q==,https://c1.staticflickr.com/4/3120/2763877287_0ed360d76d_z.jpg,0.0
000c897307728e2d,verification,/m/01dxs,1.0,train,https://c6.staticflickr.com/3/2189/2138591877_d780e05aa4_o.jpg,https://www.flickr.com/photos/fredrte/2138591877,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/fredrte/,~Ealasaid~,amsterdam art-37,311364,BZeuXyhbJRPZ8Jt1BvP/8g==,https://c3.staticflickr.com/3/2189/2138591877_5b512cc917_z.jpg?zz=1,0.0
004fb8e9af4341c3,verification,/m/01dxs,1.0,train,https://farm4.staticflickr.com/3896/18695122279_2d8111e86f_o.jpg,https://www.flickr.com/photos/cogdog/18695122279,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/cogdog/,Alan Levine,Book Stacking,1581728,kqtgYZ8Sw1YhVBXSMRQahw==,https://c7.staticflickr.com/4/3896/18695122279_14743fcbae_z.jpg,0.0
0061debb2a202214,verification,/m/01dxs,1.0,train,https://farm5.staticflickr.com/4117/4913212957_6d4a5b4164_o.jpg,https://www.flickr.com/photos/kevinkrejci/4913212957,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/kevinkrejci/,Kevin Krejci,DSC_0379,2855632,z+k+IAcPsg9QrQvulfXVCQ==,https://c3.staticflickr.com/5/4117/4913212957_64cb73a229_z.jpg,0.0
ImageID,Source,LabelName,Confidence,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
1f9a647ddb72a8c9,machine,/m/0dgw9r,0.5276930000000001,train,https://c2.staticflickr.com/4/3265/2312331899_10af530465_o.jpg,https://www.flickr.com/photos/erwinrommel/2312331899,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/erwinrommel/,Torsten Maue,Hostess von Intel,1100930,tI3qPzLFCFmfDdgVMv3flw==,https://c6.staticflickr.com/4/3265/2312331899_7a48792887_z.jpg,270.0
4b3ad175c8668b90,machine,/m/0641k,0.69372,train,https://farm1.staticflickr.com/7274/7703821592_0ed7612b19_o.jpg,https://www.flickr.com/photos/hinkelstone/7703821592,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/hinkelstone/,quapan,"die Verhandlungen über den Kaufvertrag Ihres Grundstückes noch laufen und dass noch nicht feststeht, ob Sie Alleinerbe sind oder nicht",367448,mvMdYhq/NQXrkt+wc4bifA==,https://c2.staticflickr.com/8/7274/7703821592_6aa19c8c65_z.jpg,
155ea429631b28ac,machine,/m/01x314,0.5385770000000001,train,https://c5.staticflickr.com/2/1403/570587197_c45bf33632_o.jpg,https://www.flickr.com/photos/marcusq/570587197,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/marcusq/,Marcus Quigmire,My Room,2307432,Wj7w/WnaU8g0lJgZMhEtXg==,https://c2.staticflickr.com/2/1403/570587197_a0dd373acb_z.jpg,0.0
865a329e682983d8,verification,/m/01prls,1.0,train,https://c1.staticflickr.com/1/81/251798267_2047fda971_o.jpg,https://www.flickr.com/photos/f-r-a-n-k/251798267,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/f-r-a-n-k/,Frank Hebbert,bumper sticker,535900,m+Dz1Q0toYaKwc7ghHs1xg==,https://c4.staticflickr.com/1/81/251798267_2047fda971_z.jpg,0.0
ImageID,Source,LabelName,Confidence,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
00574360e3de6cbb,verification,/m/0633h,1.0,train,https://c4.staticflickr.com/1/3/4220472_bcde736d23_o.jpg,https://www.flickr.com/photos/thinkdraw/4220472,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/thinkdraw/,Think Draw,Dubai Bears,217322,2UWNjRo/uxLO50qT8lYobw==,https://c3.staticflickr.com/1/3/4220472_bcde736d23_z.jpg?zz=1,0.0
006a0958123deab1,verification,/m/0633h,1.0,train,https://farm2.staticflickr.com/5107/5655428426_6b0e49b5fd_o.jpg,https://www.flickr.com/photos/nrdcpix/5655428426,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/nrdcpix/,NRDC pix,arct0080,857420,D0MrGOZppDCDu3Hnx1frAA==,https://c4.staticflickr.com/6/5107/5655428426_9c043e57e0_z.jpg,0.0
0089d4a84c4a3cd1,verification,/m/0633h,1.0,train,https://farm2.staticflickr.com/7191/6862203253_0f36f59a5b_o.jpg,https://www.flickr.com/photos/usfwshq/6862203253,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/usfwshq/,U.S. Fish and Wildlife Service Headquarters,polar bear pair,7327510,Jc20+yrYMKy9ulgr16YCNw==,https://c7.staticflickr.com/8/7191/6862203253_a650638b9f_z.jpg,0.0
008c2aaa599324b7,verification,/m/0633h,1.0,train,https://farm8.staticflickr.com/2552/4174476240_a36e724af9_o.jpg,https://www.flickr.com/photos/takamorry/4174476240,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/takamorry/,Takamorry,福井駅イルミネーション by Canon S90,2018683,Gb2wBKqzl3y1irLC1zpzkQ==,https://c7.staticflickr.com/3/2552/4174476240_a7ce4762d7_z.jpg,0.0
